feature,block,mean_abs_shap,folds_selected,selection_frequency
expr:MARCO,expression,0.02228411104130958,28,0.56
meth:SOX18,methylation,0.022186968970345333,16,0.32
expr:FGFR3,expression,0.022162201082600013,7,0.14
meth:C3orf50,methylation,0.022100724279880524,1,0.02
meth:KIAA1239,methylation,0.02196381613612175,1,0.02
meth:ADAM28,methylation,0.02194583499804139,5,0.1
meth:LOC100101938,methylation,0.02193853072822094,1,0.02
meth:SERP2,methylation,0.021912646293640137,30,0.6
expr:MCEMP1,expression,0.021620245162361804,26,0.52
expr:GALR1,expression,0.02159369801665889,8,0.16
meth:PLCH1,methylation,0.02158569172024727,1,0.02
expr:CLEC17A,expression,0.021575483790737517,47,0.94
meth:AKNAD1,methylation,0.021526107875009377,3,0.06
expr:CDCA7L,expression,0.021520043374039233,4,0.08
meth:SEPP1,methylation,0.021486081061946032,38,0.76
expr:ISG15,expression,0.021475556705679213,7,0.14
expr:IFNG,expression,0.021445268849757584,11,0.22
meth:MEOX2,methylation,0.021427995769772678,20,0.4
expr:SCG2,expression,0.021421884768642485,11,0.22
expr:PCED1B,expression,0.021325400564819574,2,0.04
meth:MIR200B,methylation,0.021285532042384148,1,0.02
expr:HRH2,expression,0.021283853178222973,3,0.06
meth:HSPA2,methylation,0.02127137966454029,1,0.02
meth:SLC12A1,methylation,0.021270703252715368,21,0.42
expr:ARHGEF19,expression,0.021269405260682106,1,0.02
meth:RSAD2,methylation,0.021238476037979126,1,0.02
meth:C9orf173,methylation,0.021228492259979248,1,0.02
meth:IL28RA,methylation,0.0212274007499218,2,0.04
expr:AMH,expression,0.021225880880299353,31,0.62
expr:PCDHB2,expression,0.021160780141750973,3,0.06
meth:PRSS1,methylation,0.021024834231606553,7,0.14
meth:KRT32,methylation,0.020987875759601593,1,0.02
meth:KCNG2,methylation,0.020969503559172153,4,0.08
meth:CCR1,methylation,0.02096365198182563,42,0.84
expr:TNF,expression,0.020961934002116323,2,0.04
meth:EPB49,methylation,0.020956506952643394,2,0.04
meth:NRG4,methylation,0.02094324864447117,2,0.04
expr:SPATA32,expression,0.02093331888318062,1,0.02
expr:LSMEM1,expression,0.020898273020672303,6,0.12
expr:FBXL16,expression,0.020860426314175128,5,0.1
meth:FERD3L,methylation,0.02083345390856266,10,0.2
expr:PITX2,expression,0.02079095598310232,11,0.22
meth:SIGIRR,methylation,0.020746766744802397,12,0.24
expr:IQSEC3,expression,0.020741160959005356,1,0.02
expr:NRG3,expression,0.02073845682808986,13,0.26
meth:KRTAP10-9,methylation,0.02069154320218201,21,0.42
expr:SKIDA1,expression,0.020631154268048704,25,0.5
expr:KCNB2,expression,0.020627209916710854,1,0.02
expr:MC4R,expression,0.02062483358063868,7,0.14
expr:MLLT11,expression,0.020577555522322655,1,0.02
meth:TXLNB,methylation,0.02055291270112826,18,0.36
meth:HGC6.3,methylation,0.020551654321025126,16,0.32
expr:SLCO4C1,expression,0.020526996503273647,3,0.06
meth:BTN2A2,methylation,0.02052323892712593,2,0.04
expr:MB,expression,0.020503805251792073,2,0.04
meth:GPR162,methylation,0.020405914922732683,21,0.42
meth:PRSS21,methylation,0.020354003924876452,5,0.1
meth:WDR85,methylation,0.020326074251594644,6,0.12
meth:OSR1,methylation,0.020324387509996693,3,0.06
expr:FSCN3,expression,0.02029198283950488,3,0.06
expr:CSPG4,expression,0.02026540726526744,18,0.36
expr:TMEM121,expression,0.02026455066516064,8,0.16
meth:KIF6,methylation,0.02019614614546299,5,0.1
meth:LHB,methylation,0.020182588894385844,4,0.08
expr:KRTAP5-10,expression,0.02010245165521545,35,0.7
meth:C1QTNF9B,methylation,0.020071482492817774,9,0.18
expr:STARD6,expression,0.02002914821995156,14,0.28
meth:LOC100192379,methylation,0.019874731440924935,9,0.18
expr:CCL8,expression,0.019839980096245807,6,0.12
expr:MYH6,expression,0.01982361963648047,37,0.74
meth:ZNF518A,methylation,0.019811586011201143,2,0.04
expr:EN1,expression,0.019796021918106515,48,0.96
meth:FABP9,methylation,0.019780199509114027,4,0.08
meth:FBLN7,methylation,0.01967782321456901,46,0.92
expr:TSKU,expression,0.019667084484050672,3,0.06
expr:FA2H,expression,0.01966041171302398,3,0.06
meth:NCRNA00174,methylation,0.01962404859174664,6,0.12
expr:THRSP,expression,0.01960396774423619,12,0.24
expr:SLC38A3,expression,0.019521396607160568,1,0.02
expr:RNF128,expression,0.019501951647569137,29,0.58
expr:ADAMTS17,expression,0.019484037533402443,1,0.02
expr:INSIG1,expression,0.019474184955470264,4,0.08
meth:RBM46,methylation,0.01943083417912324,21,0.42
meth:HGF,methylation,0.019429887548321857,50,1.0
expr:RPP25,expression,0.019418647978454828,2,0.04
expr:IGLL5,expression,0.019395973614882676,40,0.8
meth:CTXN1,methylation,0.01933613233268261,1,0.02
expr:IL23A,expression,0.019277661174003567,7,0.14
clin:age,clinical,0.01925554026151076,50,1.0
expr:COBLL1,expression,0.019242691904461633,12,0.24
expr:NRGN,expression,0.019237628539225886,7,0.14
expr:NPIPB6,expression,0.019227974453113146,9,0.18
meth:PCDHA1,methylation,0.019213762134313583,1,0.02
meth:KIAA1826,methylation,0.01914805732667446,1,0.02
expr:MAPK10,expression,0.0190775454393588,8,0.16
meth:SLC15A1,methylation,0.019064944237470627,2,0.04
expr:EFS,expression,0.01905430667102337,1,0.02
meth:MIR600,methylation,0.019041601687301107,48,0.96
meth:HFM1,methylation,0.019001392414793372,8,0.16
expr:PPP4R4,expression,0.01897164220645209,28,0.56
meth:USH2A,methylation,0.018967337091453373,46,0.92
expr:FNDC8,expression,0.018956033512949944,1,0.02
expr:CHST13,expression,0.018944476130268267,31,0.62
meth:ASPHD1,methylation,0.018941521528176963,4,0.08
expr:CXCL2,expression,0.01892264001071453,1,0.02
expr:KDELR3,expression,0.01877424120903015,2,0.04
expr:TNFRSF17,expression,0.018769191310126096,39,0.78
meth:QPCT,methylation,0.018755846563726662,5,0.1
meth:GNPNAT1,methylation,0.018613047897815704,1,0.02
expr:ADGRA1,expression,0.018608329817652702,1,0.02
expr:ZNF384,expression,0.01847648248076439,2,0.04
expr:KCNC4,expression,0.01846167012338591,29,0.58
meth:TNXB,methylation,0.018455270320243602,14,0.28
meth:MAT1A,methylation,0.01841830648481846,1,0.02
expr:ACY3,expression,0.018380758352577686,3,0.06
expr:FAM216B,expression,0.018327623864428863,9,0.18
meth:LOC400931,methylation,0.018307844176888466,1,0.02
expr:PLA2G10,expression,0.018292697509750724,50,1.0
expr:SLC16A10,expression,0.018285336252301932,5,0.1
meth:TSSK1B,methylation,0.01822092424845323,4,0.08
meth:DOK6,methylation,0.018176118656992913,15,0.3
expr:SLC7A11,expression,0.018161036539822817,6,0.12
meth:PDE4A,methylation,0.018111156299710274,1,0.02
expr:SIGLEC12,expression,0.01805901823293728,12,0.24
meth:SLC16A3,methylation,0.017988624516874552,4,0.08
expr:AGBL4,expression,0.017947801388800144,3,0.06
meth:ALS2CR11,methylation,0.017931144007227638,11,0.22
expr:CYP24A1,expression,0.017910740583350782,19,0.38
expr:PHOX2A,expression,0.01787319251646598,6,0.12
meth:SUCNR1,methylation,0.017754336974273126,3,0.06
expr:ZBTB18,expression,0.017750859446823596,10,0.2
meth:LOC400940,methylation,0.017748653888702393,1,0.02
expr:FAIM2,expression,0.017746782939260203,6,0.12
meth:FOXI2,methylation,0.0177139554809975,38,0.76
expr:PIPOX,expression,0.017692307475954294,2,0.04
meth:MST1,methylation,0.01769201084971428,2,0.04
meth:LRRC3B,methylation,0.017681387086798037,7,0.14
expr:PBOV1,expression,0.017666280269622803,1,0.02
