feature,block,mean_abs_shap,folds_selected,selection_frequency
meth:PUF60,methylation,0.00047056380814562243,3,0.06
meth:PRKACA,methylation,0.00047033117707109167,21,0.42
expr:C3orf70,expression,0.0004692514865802458,13,0.26
meth:CPA4,methylation,0.00046855017043104984,41,0.82
meth:CD164L2,methylation,0.00046808255137875676,12,0.24
meth:MMP3,methylation,0.000467851924875741,46,0.92
meth:GPR183,methylation,0.00046766995122501004,36,0.72
expr:HTR6,expression,0.00046748728072998347,16,0.32
meth:ANKRD1,methylation,0.0004668948998631433,43,0.86
meth:ADNP2,methylation,0.0004654587944969535,10,0.2
meth:GHRH,methylation,0.0004651778338787456,48,0.96
meth:KRT33B,methylation,0.00046349857439054176,8,0.16
expr:P2RY13,expression,0.0004630383427866036,32,0.64
meth:CAMKK1,methylation,0.0004629218856280204,44,0.88
expr:LCP2,expression,0.0004627020300730415,23,0.46
expr:CD247,expression,0.00046266279079847864,18,0.36
meth:SPATA12,methylation,0.0004622352592247937,14,0.28
meth:ITGAE,methylation,0.0004621313388557418,38,0.76
meth:MIR33B,methylation,0.0004618272068910301,4,0.08
expr:FAM81B,expression,0.0004612610209733248,3,0.06
expr:PDK4,expression,0.0004603456500262837,16,0.32
expr:CD1C,expression,0.00046012573780583057,46,0.92
meth:SPON1,methylation,0.00045991553148875636,6,0.12
expr:SCN4A,expression,0.00045926403607044256,33,0.66
meth:IQCK,methylation,0.0004591291304677725,5,0.1
meth:GPR68,methylation,0.00045909810190399486,6,0.12
expr:SLC5A4,expression,0.0004582181281875819,4,0.08
meth:HEYL,methylation,0.0004564151167869568,12,0.24
meth:C1orf110,methylation,0.00045632338151335716,3,0.06
expr:PI16,expression,0.00045540894974361765,11,0.22
expr:DRD2,expression,0.00045516064745329673,21,0.42
meth:CYP2F1,methylation,0.0004549041508913173,42,0.84
expr:SCN7A,expression,0.0004543762018632454,48,0.96
meth:ANGPTL2,methylation,0.0004541708637445577,38,0.76
expr:IRF9,expression,0.0004536250957955971,23,0.46
expr:TEK,expression,0.0004531586530140123,37,0.74
meth:NCOA1,methylation,0.0004527499253044323,49,0.98
expr:RAD21L1,expression,0.0004526051925495267,3,0.06
expr:CYP2B6,expression,0.0004524575901756945,19,0.38
expr:DOK7,expression,0.0004515851614996791,2,0.04
meth:ASXL3,methylation,0.0004514595881725351,3,0.06
meth:BAIAP2L2,methylation,0.0004511254114913754,50,1.0
expr:NPW,expression,0.00045057638424388585,31,0.62
meth:ENTHD1,methylation,0.0004504074630163172,17,0.34
expr:PLEKHH1,expression,0.0004491891886573285,2,0.04
meth:PLA2G4C,methylation,0.00044913974679296924,21,0.42
expr:KL,expression,0.00044826961166108956,40,0.8
meth:GDPD4,methylation,0.00044777258764952424,50,1.0
meth:AUH,methylation,0.00044674521747143254,38,0.76
meth:STK19,methylation,0.0004465734576418375,36,0.72
meth:UNC93B1,methylation,0.00044621934522064805,46,0.92
expr:NSG2,expression,0.0004453116950268547,6,0.12
meth:OMP,methylation,0.00044507193379104135,5,0.1
meth:C1QA,methylation,0.0004449072494653278,29,0.58
meth:RABGAP1L,methylation,0.00044439706834964454,1,0.02
expr:CENPE,expression,0.0004443719517439604,2,0.04
meth:CAND2,methylation,0.0004436497110873461,9,0.18
meth:GNG13,methylation,0.00044362928019836545,22,0.44
meth:UNC13A,methylation,0.0004434709437191486,5,0.1
expr:GUCY2D,expression,0.00044231971592775414,7,0.14
meth:MYO1A,methylation,0.00044212612780169223,13,0.26
meth:ASZ1,methylation,0.00044190383969659085,19,0.38
expr:RFLNA,expression,0.0004416089504957199,8,0.16
meth:SLC14A1,methylation,0.00044113176920438637,37,0.74
expr:APOH,expression,0.000439658605804046,3,0.06
meth:RPL23,methylation,0.0004375917953439057,45,0.9
meth:PPP1R13B,methylation,0.0004374051466584206,5,0.1
meth:MIR1276,methylation,0.0004373240517452359,48,0.96
meth:LRIT3,methylation,0.00043593239194403093,30,0.6
meth:OR2AE1,methylation,0.00043540400656638667,40,0.8
expr:SAMD12,expression,0.00043509061409470934,9,0.18
expr:CDCA2,expression,0.0004340029554441571,6,0.12
meth:MTMR11,methylation,0.00043330705639990896,11,0.22
expr:CCDC38,expression,0.00043330496731053654,29,0.58
expr:KLRB1,expression,0.0004331512318458408,48,0.96
meth:LOC284805,methylation,0.0004326243818338428,14,0.28
expr:LY9,expression,0.0004319636047714286,36,0.72
expr:RAPGEFL1,expression,0.00043134321458637714,4,0.08
expr:CDC25B,expression,0.0004308427160140127,4,0.08
expr:ACSM1,expression,0.00043075759895145894,5,0.1
expr:CXCL12,expression,0.0004307542667014613,21,0.42
expr:HPGDS,expression,0.00043009070941479877,8,0.16
expr:VWA2,expression,0.00042983587676038347,15,0.3
meth:TBCB,methylation,0.00042898423719004943,13,0.26
meth:AGAP11,methylation,0.00042839732486754656,2,0.04
expr:CLEC2D,expression,0.0004280355067241417,43,0.86
meth:PRKACB,methylation,0.0004279187705833465,4,0.08
meth:TREML1,methylation,0.00042682670755311847,26,0.52
expr:ZNF442,expression,0.00042635350837372243,2,0.04
expr:MYOF,expression,0.00042631584972910145,17,0.34
expr:RBM20,expression,0.00042623424087651074,1,0.02
expr:TCEAL5,expression,0.00042488196465585915,21,0.42
expr:ODAM,expression,0.00042470506741665304,8,0.16
meth:APOE,methylation,0.0004245283672827537,27,0.54
meth:C7orf29,methylation,0.0004245114850345999,50,1.0
meth:FUT4,methylation,0.0004244900377903213,47,0.94
expr:HLA-DRB1,expression,0.00042367893426368636,6,0.12
expr:DDAH1,expression,0.000423552977736108,4,0.08
expr:RAMP3,expression,0.0004230441870810143,29,0.58
meth:EXOSC2,methylation,0.0004224197647999972,10,0.2
expr:TMC3,expression,0.0004215488540163885,6,0.12
meth:NSMAF,methylation,0.00042143682367168367,1,0.02
meth:DDC,methylation,0.0004206450927692155,12,0.24
meth:MTPAP,methylation,0.00042056613056821394,47,0.94
meth:C5AR1,methylation,0.0004203010374974263,19,0.38
expr:UNC93A,expression,0.00041980472482503096,47,0.94
meth:MIR1266,methylation,0.0004197959527212741,29,0.58
expr:MROH2A,expression,0.0004195517424541788,39,0.78
meth:SCARNA12,methylation,0.00041948336487015087,12,0.24
expr:SLC12A3,expression,0.00041898738973858684,44,0.88
expr:ANO5,expression,0.0004188353583837549,3,0.06
meth:ENTPD8,methylation,0.0004187996871769428,50,1.0
meth:C1QL4,methylation,0.0004183970740996301,4,0.08
expr:RIPPLY1,expression,0.0004182595999516321,33,0.66
expr:ZNF552,expression,0.00041812911946722804,47,0.94
expr:CD226,expression,0.00041790366515709576,46,0.92
meth:LAIR1,methylation,0.0004177748289128596,22,0.44
meth:MUC20,methylation,0.00041750331663272596,11,0.22
expr:RXFP3,expression,0.000416193506680429,3,0.06
expr:OR2I1P,expression,0.00041561629623174665,15,0.3
expr:AASS,expression,0.0004156120467087021,8,0.16
expr:UBXN10,expression,0.0004153145710006356,2,0.04
expr:PWWP3B,expression,0.00041422457434237003,2,0.04
meth:ST7OT2,methylation,0.0004140730792035659,12,0.24
expr:PARP15,expression,0.0004125964894358601,28,0.56
expr:MFAP4,expression,0.00041179256871915783,13,0.26
meth:PLIN4,methylation,0.0004109177398001493,33,0.66
